“make”,“country”,“body_type”,“price”,“registred”,“speedometer”,“fuel_type”,“gearbox”,“seats”,“doors”,“engine_size”,“engine_power”,“colour”
JAGUAR,CZ,HATCHBACK,5186,1987,1,PETROL,AUTOMATIC,0,0,5345,211,BROWN
LINHAI,CZ,QUAD,4502,2021,1,PETROL,AUTOMATIC,0,0,275,5,RED
TGB,CZ,QUAD,9247,2021,1,PETROL,AUTOMATIC,0,0,561,15,BLACK
TGB,CZ,QUAD,11982,2021,1,PETROL,AUTOMATIC,0,0,997,18,BLACK
TGB,CZ,QUAD,11017,2021,1,PETROL,AUTOMATIC,0,0,997,18,BLACK
NISSAN,SK,SUV,25900,2021,1,PETROL,AUTOMATIC,0,0,999,84,WHITE
CITROEN,CZ,HATCHBACK,21109,2021,1,PETROL,AUTOMATIC,0,0,1199,81,RED
CITROEN,CZ,HATCHBACK,20707,2021,1,PETROL,AUTOMATIC,0,0,1199,81,BLACK
TOYOTA,CZ,MPV,27261,2021,1,PETROL,AUTOMATIC,0,0,1199,96,NOT_SPECIFIED
BMW,SK,MPV,46999,2021,1,PETROL,AUTOMATIC,0,0,1499,100,GREY
SUZUKI,CZ,COMBI,28106,2021,1,PETROL,AUTOMATIC,0,0,1798,72,SILVER
PORSCHE,CZ,SUV,79898,2021,1,PETROL,AUTOMATIC,0,0,1984,195,BLACK
PORSCHE,CZ,SUV,77847,2021,1,PETROL,AUTOMATIC,0,0,1984,195,WHITE
ALFA_ROMEO,CZ,OFF_ROAD,56381,2021,1,PETROL,AUTOMATIC,0,0,1995,206,GREY
TOYOTA,CZ,SUV,37189,2021,1,PETROL,AUTOMATIC,0,0,1997,128,BLUE
TOYOTA,CZ,SUV,36385,2021,1,PETROL,AUTOMATIC,0,0,1997,128,WHITE
BMW,SK,COUPE,54819,2021,1,PETROL,AUTOMATIC,0,0,1998,131,BLACK
BMW,SK,SUV,67000,2021,1,PETROL,AUTOMATIC,0,0,1998,135,BLACK
BMW,SK,SUV,45000,2021,1,PETROL,AUTOMATIC,0,0,1998,141,WHITE
PORSCHE,CZ,SUV,103179,2021,1,PETROL,AUTOMATIC,0,0,2894,280,BLUE
PORSCHE,CZ,SUV,111295,2021,1,PETROL,AUTOMATIC,0,0,2995,250,BLACK
PORSCHE,CZ,SUV,100789,2021,1,PETROL,AUTOMATIC,0,0,2995,250,BROWN
BMW,SK,SUV,106350,2021,1,PETROL,AUTOMATIC,0,0,2998,250,GREY
BMW,SK,NOT_SPECIFIED,103000,2021,1,PETROL,AUTOMATIC,0,0,2998,250,BLUE_METALLIC
BMW,SK,ROADSTER,80185,2021,1,PETROL,AUTOMATIC,0,0,2998,250,GREY
MERCEDES_BENZ,SK,NOT_SPECIFIED,98964,2021,1,PETROL,AUTOMATIC,0,0,2999,270,RED
NISSAN,CZ,OFF_ROAD,51427,2020,2,PETROL,AUTOMATIC,0,0,3498,193,BLUE
JEEP,CZ,OFF_ROAD,79815,2020,2,PETROL,AUTOMATIC,0,0,3604,216,WHITE
PEUGEOT,CZ,HATCHBACK,17163,2021,2,PETROL,AUTOMATIC,0,0,1199,74,YELLOW
PEUGEOT,CZ,HATCHBACK,15934,2021,2,PETROL,AUTOMATIC,0,0,1199,74,YELLOW
PEUGEOT,CZ,SUV,39644,2021,2,PETROL,AUTOMATIC,0,0,1597,166,WHITE
JEEP,CZ,OFF_ROAD,65962,2021,2,PETROL,AUTOMATIC,0,0,3604,216,WHITE
DODGE,CZ,OFF_ROAD,76357,2021,2,PETROL,AUTOMATIC,0,0,5654,268,BLACK
DODGE,CZ,OFF_ROAD,76308,2021,2,PETROL,AUTOMATIC,0,0,5654,268,RED
DODGE,CZ,OFF_ROAD,67148,2021,2,PETROL,AUTOMATIC,0,0,5654,268,GREY
DODGE,CZ,OFF_ROAD,67144,2021,2,PETROL,AUTOMATIC,0,0,5654,268,WHITE
DODGE,CZ,OFF_ROAD,67141,2021,2,PETROL,AUTOMATIC,0,0,5654,268,BLACK
DODGE,CZ,OFF_ROAD,67140,2021,2,PETROL,AUTOMATIC,0,0,5654,268,NOT_SPECIFIED
DODGE,CZ,OFF_ROAD,67137,2021,2,PETROL,AUTOMATIC,0,0,5654,268,WHITE
DODGE,CZ,OFF_ROAD,67137,2021,2,PETROL,AUTOMATIC,0,0,5654,268,GREY
DODGE,CZ,OFF_ROAD,93646,2021,2,PETROL,AUTOMATIC,0,0,5654,291,WHITE
DODGE,CZ,OFF_ROAD,92842,2021,2,PETROL,AUTOMATIC,0,0,5654,291,BLACK
DODGE,CZ,OFF_ROAD,92070,2021,2,PETROL,AUTOMATIC,0,0,5654,291,RED
DODGE,CZ,OFF_ROAD,90430,2021,2,PETROL,AUTOMATIC,0,0,5654,291,GREY
DODGE,CZ,OFF_ROAD,89545,2021,2,PETROL,AUTOMATIC,0,0,5654,291,BLACK
DODGE,CZ,OFF_ROAD,88379,2021,2,PETROL,AUTOMATIC,0,0,5654,291,GREY
DODGE,CZ,NOT_SPECIFIED,75068,2021,2,PETROL,AUTOMATIC,0,0,5654,291,BLACK
DODGE,CZ,NOT_SPECIFIED,74735,2021,2,PETROL,AUTOMATIC,0,0,5654,291,RED
DODGE,CZ,NOT_SPECIFIED,74735,2021,2,PETROL,AUTOMATIC,0,0,5654,291,WHITE
DODGE,CZ,NOT_SPECIFIED,74735,2021,2,PETROL,AUTOMATIC,0,0,5654,291,GREY
